,country,frequency,variable,value_x,value_y,count_percent
0,Albania,Never or rarely,talkAboutMaths,199,2619,7.6
1,Albania,Sometimes,talkAboutMaths,890,2619,33.98
2,Albania,Often,talkAboutMaths,1086,2619,41.47
3,Albania,Always or almost always,talkAboutMaths,444,2619,16.95
4,Argentina,Never or rarely,talkAboutMaths,1735,3674,47.22
5,Argentina,Sometimes,talkAboutMaths,1117,3674,30.4
6,Argentina,Often,talkAboutMaths,485,3674,13.2
7,Argentina,Always or almost always,talkAboutMaths,337,3674,9.17
8,Australia,Never or rarely,talkAboutMaths,4762,9409,50.61
9,Australia,Sometimes,talkAboutMaths,3132,9409,33.29
10,Australia,Often,talkAboutMaths,1221,9409,12.98
11,Australia,Always or almost always,talkAboutMaths,294,9409,3.12
12,Austria,Never or rarely,talkAboutMaths,1388,3103,44.73
13,Austria,Sometimes,talkAboutMaths,1300,3103,41.89
14,Austria,Often,talkAboutMaths,337,3103,10.86
15,Austria,Always or almost always,talkAboutMaths,78,3103,2.51
16,Belgium,Never or rarely,talkAboutMaths,2301,5432,42.36
17,Belgium,Sometimes,talkAboutMaths,2196,5432,40.43
18,Belgium,Often,talkAboutMaths,764,5432,14.06
19,Belgium,Always or almost always,talkAboutMaths,171,5432,3.15
20,Brazil,Never or rarely,talkAboutMaths,2232,12090,18.46
21,Brazil,Sometimes,talkAboutMaths,4917,12090,40.67
22,Brazil,Often,talkAboutMaths,3046,12090,25.19
23,Brazil,Always or almost always,talkAboutMaths,1895,12090,15.67
24,Bulgaria,Never or rarely,talkAboutMaths,1324,3349,39.53
25,Bulgaria,Sometimes,talkAboutMaths,1343,3349,40.1
26,Bulgaria,Often,talkAboutMaths,425,3349,12.69
27,Bulgaria,Always or almost always,talkAboutMaths,257,3349,7.67
28,Canada,Never or rarely,talkAboutMaths,6255,14031,44.58
29,Canada,Sometimes,talkAboutMaths,5412,14031,38.57
30,Canada,Often,talkAboutMaths,1856,14031,13.23
31,Canada,Always or almost always,talkAboutMaths,508,14031,3.62
32,Chile,Never or rarely,talkAboutMaths,1607,4503,35.69
33,Chile,Sometimes,talkAboutMaths,1851,4503,41.11
34,Chile,Often,talkAboutMaths,784,4503,17.41
35,Chile,Always or almost always,talkAboutMaths,261,4503,5.8
36,China-Shanghai,Never or rarely,talkAboutMaths,492,3430,14.34
37,China-Shanghai,Sometimes,talkAboutMaths,1608,3430,46.88
38,China-Shanghai,Often,talkAboutMaths,1041,3430,30.35
39,China-Shanghai,Always or almost always,talkAboutMaths,289,3430,8.43
40,Chinese Taipei,Never or rarely,talkAboutMaths,1022,4005,25.52
41,Chinese Taipei,Sometimes,talkAboutMaths,1915,4005,47.82
42,Chinese Taipei,Often,talkAboutMaths,827,4005,20.65
43,Chinese Taipei,Always or almost always,talkAboutMaths,241,4005,6.02
44,Colombia,Never or rarely,talkAboutMaths,1448,5598,25.87
45,Colombia,Sometimes,talkAboutMaths,2869,5598,51.25
46,Colombia,Often,talkAboutMaths,876,5598,15.65
47,Colombia,Always or almost always,talkAboutMaths,405,5598,7.23
48,Connecticut (USA),Never or rarely,talkAboutMaths,536,1115,48.07
49,Connecticut (USA),Sometimes,talkAboutMaths,393,1115,35.25
50,Connecticut (USA),Often,talkAboutMaths,148,1115,13.27
51,Connecticut (USA),Always or almost always,talkAboutMaths,38,1115,3.41
52,Costa Rica,Never or rarely,talkAboutMaths,764,2880,26.53
53,Costa Rica,Sometimes,talkAboutMaths,1282,2880,44.51
54,Costa Rica,Often,talkAboutMaths,520,2880,18.06
55,Costa Rica,Always or almost always,talkAboutMaths,314,2880,10.9
56,Croatia,Never or rarely,talkAboutMaths,1344,3309,40.62
57,Croatia,Sometimes,talkAboutMaths,1393,3309,42.1
58,Croatia,Often,talkAboutMaths,473,3309,14.29
